sample	height	length	width	weight	loc	type	date
CO1_22	218.9 	115.9 	48.6 	643.0 	Dongying	Northern_Cari	2019_11
CO1_23	205.0 	111.0 	46.4 	689.3 	Dongying	Northern_Cari	2019_11
CO1_24	234.7 	96.6 	52.4 	855.6 	Dongying	Northern_Cari	2019_11
CO1_3	340.4 	101.9 	58.7 	1229.0 	Dongying	Northern_Cari	2019_11
CO1_4	321.3 	103.2 	69.9 	1543.4 	Dongying	Northern_Cari	2019_11
CO1_5	273.2 	100.8 	53.6 	750.4 	Dongying	Northern_Cari	2019_11
CO1_6	254.7 	100.4 	50.0 	835.2 	Dongying	Northern_Cari	2019_11
CO1_7	323.2 	92.2 	78.7 	1529.4 	Dongying	Northern_Cari	2019_11
CO1_8	326.5 	81.3 	61.4 	1118.4 	Dongying	Northern_Cari	2019_11
CO1_9	254.0 	114.1 	64.3 	1049.2 	Dongying	Northern_Cari	2019_11
GD_11	106.0 	66.2 	36.9 	129.3 	Guangzhou	Southern_Cari	2019_12
GD_13	88.7 	58.9 	35.3 	111.9 	Guangzhou	Southern_Cari	2019_12
GD_14	84.2 	61.9 	33.6 	127.3 	Guangzhou	Southern_Cari	2019_12
GD_16	85.5 	63.1 	51.9 	142.9 	Guangzhou	Southern_Cari	2019_12
GD_17	90.9 	72.5 	35.4 	173.6 	Guangzhou	Southern_Cari	2019_12
GD_18	91.9 	66.1 	38.1 	117.0 	Guangzhou	Southern_Cari	2019_12
GD_19	112.7 	68.3 	35.1 	139.8 	Guangzhou	Southern_Cari	2019_12
GD_2	104.0 	76.4 	30.9 	139.6 	Guangzhou	Southern_Cari	2019_12
GD_20	111.7 	67.0 	36.2 	155.1 	Guangzhou	Southern_Cari	2019_12
GD_21	97.5 	63.7 	35.7 	151.7 	Guangzhou	Southern_Cari	2019_12
GD_27	104.0 	78.3 	27.1 	150.2 	Guangzhou	Southern_Cari	2019_12
GD_28	98.9 	52.6 	24.8 	89.8 	Guangzhou	Southern_Cari	2019_12
GD_29	94.0 	65.4 	48.9 	161.1 	Guangzhou	Southern_Cari	2019_12
GD_3	97.0 	69.0 	39.8 	145.7 	Guangzhou	Southern_Cari	2019_12
GD_30	85.0 	64.4 	31.6 	130.0 	Guangzhou	Southern_Cari	2019_12
GD_32	90.4 	75.0 	33.1 	122.4 	Guangzhou	Southern_Cari	2019_12
GD_33	88.8 	62.9 	39.3 	116.0 	Guangzhou	Southern_Cari	2019_12
GD_34	88.1 	74.8 	38.2 	117.0 	Guangzhou	Southern_Cari	2019_12
GD_35	92.8 	62.9 	33.7 	110.1 	Guangzhou	Southern_Cari	2019_12
GD_36	91.5 	65.7 	32.8 	103.1 	Guangzhou	Southern_Cari	2019_12
GD_37	85.2 	62.0 	39.1 	119.7 	Guangzhou	Southern_Cari	2019_12
